item.log.2020-04-24-07:24 Apr 2020 07:58:34,603 INFO  [bitzero.server.controllers.ExtensionController-10] ItemLogger     - 118770718 | jackpot | 1 | added gold to game | 200000 | 14000
item.log.2020-04-24-07:24 Apr 2020 07:59:39,892 INFO  [bitzero.server.controllers.ExtensionController-9] ItemLogger     - 119928197 | jackpot | 1 | added gold to game | 200000 | 0
item.log.2020-04-24-08:24 Apr 2020 08:21:33,254 INFO  [bitzero.server.controllers.ExtensionController-12] ItemLogger     - 120028932 | jackpot | 2 | added gold to game | 2000000 | 0
item.log.2020-04-24-08:24 Apr 2020 08:22:07,501 INFO  [bitzero.server.controllers.ExtensionController-14] ItemLogger     - 108789896 | jackpot | 1 | added gold to game | 200000 | 0
item.log.2020-04-24-08:24 Apr 2020 08:22:32,769 INFO  [bitzero.server.controllers.ExtensionController-8] ItemLogger     - 119962952 | jackpot | 1 | added gold to game | 200000 | 4000
item.log.2020-04-24-08:24 Apr 2020 08:25:10,768 INFO  [bitzero.server.controllers.ExtensionController-14] ItemLogger     - 109733100 | jackpot | 2 | added gold to game | 2000000 | 0
item.log.2020-04-24-08:24 Apr 2020 08:26:44,438 INFO  [bitzero.server.controllers.ExtensionController-3] ItemLogger     - 119030960 | jackpot | 1 | added gold to game | 200000 | 0
item.log.2020-04-24-08:24 Apr 2020 08:26:47,615 INFO  [bitzero.server.controllers.ExtensionController-13] ItemLogger     - 119141618 | jackpot | 2 | added gold to game | 2000000 | 0
item.log.2020-04-24-08:24 Apr 2020 08:30:26,524 INFO  [bitzero.server.controllers.ExtensionController-6] ItemLogger     - 115281233 | jackpot | 3 | added gold to game | 20000000 | 0
item.log.2020-04-24-08:24 Apr 2020 08:32:08,057 INFO  [bitzero.server.controllers.ExtensionController-6] ItemLogger     - 117680468 | jackpot | 2 | added gold to game | 2000000 | 0
item.log.2020-04-24-08:24 Apr 2020 08:32:52,896 INFO  [bitzero.server.controllers.ExtensionController-11] ItemLogger     - 115667664 | jackpot | 1 | added gold to game | 200000 | 0
item.log.2020-04-24-08:24 Apr 2020 08:36:30,576 INFO  [bitzero.server.controllers.ExtensionController-8] ItemLogger     - 112733861 | jackpot | 1 | added gold to game | 200000 | 0
item.log.2020-04-24-08:24 Apr 2020 08:37:14,457 INFO  [bitzero.server.controllers.ExtensionController-12] ItemLogger     - 110099538 | jackpot | 1 | added gold to game | 200000 | 37000
item.log.2020-04-24-08:24 Apr 2020 08:38:16,616 INFO  [bitzero.server.controllers.ExtensionController-6] ItemLogger     - 116041225 | jackpot | 2 | added gold to game | 2000000 | 0
item.log.2020-04-24-08:24 Apr 2020 08:40:15,416 INFO  [bitzero.server.controllers.ExtensionController-12] ItemLogger     - 120345981 | jackpot | 2 | added gold to game | 2000000 | 0
item.log.2020-04-24-08:24 Apr 2020 08:41:44,022 INFO  [bitzero.server.controllers.ExtensionController-15] ItemLogger     - 116459075 | jackpot | 1 | added gold to game | 200000 | 0
item.log.2020-04-24-08:24 Apr 2020 08:46:31,846 INFO  [bitzero.server.controllers.ExtensionController-10] ItemLogger     - 111991435 | jackpot | 1 | added gold to game | 200000 | 0
